"Guid","AccountId","AssistantName","AssistantPhone","Birthdate","Department","Description","Email","EmailBouncedReason","Fax","FirstName","HomePhone","Jigsaw","LastName","LeadSource","MailingCity","MailingCountry","MailingGeocodeAccuracy","MailingLatitude","MailingLongitude","MailingPostalCode","MailingState","MailingStreet","MobilePhone","OtherCity","OtherCountry","OtherGeocodeAccuracy","OtherLatitude","OtherLongitude","OtherPhone","OtherPostalCode","OtherState","OtherStreet","Phone","ReportsToId","Salutation","Title","ccrz__CompanyName__c","ccrz__CompanyType__c","ccrz__DataId__c","ccrz__IsPortalUser__c","ccrz__SelfRegistered__c"
0038f827-7b96-47f7-8882-e889c2668d92,da2074f4-94c3-404f-9023-3992e941dc87,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+871@gmail.com.invalid,"#N/A","#N/A",Alisun,"#N/A","#N/A",Thom,"#N/A",Phoenix,USA,"#N/A","#N/A","#N/A",85004,AZ,401 East Jefferson Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(652) 915-9158,"#N/A","#N/A",CFO,Prodly,"#N/A","#N/A",false,false
003a835e-fac3-4fc6-8c7d-e9b88a75dfad,bb9fb333-a8ee-4db7-a84f-4e003afa5ab0,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+570@gmail.com.invalid,"#N/A","#N/A",Donica,"#N/A","#N/A",Augie,"#N/A",KALANG,Australia,"#N/A","#N/A","#N/A","#N/A",NSW,88 Bailey Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2454,"#N/A","#N/A",(03) 5338 3952,"#N/A","#N/A",SVP,Prodly,"#N/A","#N/A",false,false
0099eba4-7b8c-417a-8e4b-5fe06b19aaff,822c647e-949e-4f5d-8ae8-ec893d9f679c,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+129@gmail.com.invalid,"#N/A","#N/A",Deva,"#N/A","#N/A",Wilt,"#N/A",San Francisco,USA,"#N/A","#N/A","#N/A",94107,CA,24 Willie Mays Plaza,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(691) 229-7599,"#N/A","#N/A",Chairman and CEO,Prodly,"#N/A","#N/A",false,false
00e4a9b0-16c4-47d8-98fd-96ed8fe4a929,a69fa085-5e65-4a9a-b02f-8937ef374de8,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+289@gmail.com.invalid,"#N/A","#N/A",Kettie,"#N/A","#N/A",Harland,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(339) 279-0378,"#N/A","#N/A","EVP, Secretary and General Counsel",Prodly,"#N/A","#N/A",false,false
00efead0-e5e1-4dab-82d3-f5653ac077f5,73289483-cb1c-416f-bd49-ae2532deeea8,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+280@gmail.com.invalid,"#N/A","#N/A",Cairistiona,"#N/A","#N/A",Kelly,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(711) 206-8160,"#N/A","#N/A",Executive Vice President and Chief Human Resources Officer,Prodly,"#N/A","#N/A",false,false
0104b935-63f0-4a29-8174-dcc5c587c91e,5fc8553f-5340-4afa-9995-cc5c256a1447,"#N/A",(03) 8810 8036,"#N/A",Opera,"#N/A",jmanningcongagdo+739@gmail.com.invalid,"#N/A",(03) 8810 8036,Bria,"#N/A","#N/A",Hirsch,"#N/A",Ballan,Australia,"#N/A","#N/A","#N/A",3342,VIC,18 McMahon Dr,0430 759 149,Ballan,Australia,"#N/A","#N/A","#N/A","#N/A",3342,VIC,18 McMahon Dr,(03) 8810 8036,"#N/A","#N/A","Director, Consulting",Prodly,"#N/A","#N/A",false,false
0169e9bd-feb2-4906-bc3f-21aed1bb82df,d225c100-912d-4fe8-9b80-c8df2aaca625,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+363@gmail.com.invalid,"#N/A","#N/A",Keely,"#N/A","#N/A",Jamil,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",202-555-0102,"#N/A","#N/A",CSO,Prodly,"#N/A","#N/A",false,false
017b61e1-e63a-4268-8821-12e118a59a2a,a69fa085-5e65-4a9a-b02f-8937ef374de8,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+290@gmail.com.invalid,"#N/A","#N/A",Ricki,"#N/A","#N/A",Jeffrey,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(954) 660-2022,"#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
01af8375-fc78-4e31-8447-b32cb56a4f34,905b1a0b-da8b-4abd-9bde-82cd78e790ce,"#N/A","#N/A","#N/A","#N/A","Hilary Krane brings global expertise in corporate law, mergers and acquisitions, brand protection, and government affairs to her role as EVP, Chief Administrative Officer & General Counsel for NIKE, Inc. Krane joined the company from Levi Strauss & Company, where she held various roles including Senior Vice President, General Counsel and Corporate Affairs.",jmanningcongagdo+344@gmail.com.invalid,"#N/A","#N/A",Allissa,"#N/A","#N/A",Steven,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(552) 456-2839,"#N/A","#N/A","EVP, Chief Adminstrative Officer & General Counsel",Prodly,"#N/A","#N/A",false,false
0261df1f-a9ca-4141-a5b1-2b1902c9ef22,2b2e4eef-97ea-4d16-95b0-0b5daed11cdc,"#N/A","#N/A",1973-11-28,"#N/A","Meg McCarthy is Executive Vice President, Operations and Technology. She is responsible for information technology, service operations and global security for Aetna. She is a member of Aetna’s Executive Committee, the senior governing body of the company, reporting directly to Aetna's Chairman and CEO Mark T. Bertolini.",jmanningcongagdo+450@gmail.com.invalid,"#N/A","#N/A",Jordanna,"#N/A","#N/A",Baron,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(252) 525-1579,"#N/A","#N/A","EVP, Ops and Technology",Prodly,"#N/A","#N/A",false,false
02a35bbf-d39a-43d7-bd88-c993878053c0,473469d0-19af-43bf-b115-bccd50ebcf37,"#N/A",(03) 7879 6956,"#N/A",Operations,"#N/A",jmanningcongagdo+735@gmail.com.invalid,"#N/A",(03) 7879 6956,Kimberly,"#N/A","#N/A",Hayward,"#N/A",Melbourne,Australia,"#N/A","#N/A","#N/A",3000,VIC,350 Collins Street,0417 640 363,Melbourne,Australia,"#N/A","#N/A","#N/A","#N/A",3000,VIC,350 Collins Street,(03) 7879 6956,"#N/A","#N/A",Administrative Assistant,Prodly,"#N/A","#N/A",false,false
02d14329-3fc1-4ae3-827b-4b73c448c992,bf131de7-db83-489c-a98f-c2d3229086fe,"#N/A",(03) 8353 8535,"#N/A",Sales,"#N/A",jmanningcongagdo+743@gmail.com.invalid,"#N/A",(03) 8353 8535,Alexandrina,"#N/A","#N/A",Ferdy,"#N/A",Ballarat Central,Australia,"#N/A","#N/A","#N/A",3350,VIC,50 Loch Av,0412 887 280,Ballarat Central,Australia,"#N/A","#N/A","#N/A","#N/A",3350,VIC,50 Loch Av,(03) 8353 8535,"#N/A","#N/A",Enterprise Sales Manager,Prodly,"#N/A","#N/A",false,false
